id_kks,value,session_date,session_id,cycle_id,tm_update
20,-0.000131836,2020-05-28-16:06:45,6623,14,1590671219.50829
9,1.56156e-39,2020-05-28-16:06:45,6623,15,1590671220.51509
10,1.56228e-39,2020-05-28-16:06:45,6623,15,1590671220.53161
11,1.563e-39,2020-05-28-16:06:45,6623,15,1590671220.53609
12,1.56371e-39,2020-05-28-16:06:45,6623,15,1590671220.54052
13,-107500.0,2020-05-28-16:06:45,6623,15,1590671220.54554
14,-125.667,2020-05-28-16:06:45,6623,15,1590671220.55013
15,-110.423,2020-05-28-16:06:45,6623,15,1590671220.55476
16,-121.645,2020-05-28-16:06:45,6623,15,1590671220.5592
17,-0.000161133,2020-05-28-16:06:45,6623,15,1590671220.56453
18,-9.76563e-06,2020-05-28-16:06:45,6623,15,1590671220.569
19,6.83594e-05,2020-05-28-16:06:45,6623,15,1590671220.57341
20,-2.92969e-05,2020-05-28-16:06:45,6623,15,1590671220.57771
9,1.56156e-39,2020-05-28-16:06:45,6623,16,1590671221.5843
10,1.56228e-39,2020-05-28-16:06:45,6623,16,1590671221.59176
11,1.563e-39,2020-05-28-16:06:45,6623,16,1590671221.59635
12,1.56371e-39,2020-05-28-16:06:45,6623,16,1590671221.60036
13,-107501.0,2020-05-28-16:06:45,6623,16,1590671221.60409
14,-125.662,2020-05-28-16:06:45,6623,16,1590671221.60668
15,-110.421,2020-05-28-16:06:45,6623,16,1590671221.60897
16,-121.641,2020-05-28-16:06:45,6623,16,1590671221.61154
17,-0.00012207,2020-05-28-16:06:45,6623,16,1590671221.61497
18,0.000126953,2020-05-28-16:06:45,6623,16,1590671221.61741
19,2.44141e-05,2020-05-28-16:06:45,6623,16,1590671221.61983
20,-0.000117188,2020-05-28-16:06:45,6623,16,1590671221.62232
9,1.56156e-39,2020-05-28-16:06:45,6623,17,1590671222.62689
10,1.56228e-39,2020-05-28-16:06:45,6623,17,1590671222.64201
11,1.563e-39,2020-05-28-16:06:45,6623,17,1590671222.64489
12,1.56371e-39,2020-05-28-16:06:45,6623,17,1590671222.64768
13,-107503.0,2020-05-28-16:06:45,6623,17,1590671222.6504
14,-125.667,2020-05-28-16:06:45,6623,17,1590671222.65291
15,-110.429,2020-05-28-16:06:45,6623,17,1590671222.65507
16,-121.648,2020-05-28-16:06:45,6623,17,1590671222.65728
17,-0.000244141,2020-05-28-16:06:45,6623,17,1590671222.66022
18,2.92969e-05,2020-05-28-16:06:45,6623,17,1590671222.66267
19,8.78906e-05,2020-05-28-16:06:45,6623,17,1590671222.66531
20,6.34766e-05,2020-05-28-16:06:45,6623,17,1590671222.66799
9,1.56156e-39,2020-05-28-16:06:45,6623,18,1590671223.67264
10,1.56228e-39,2020-05-28-16:06:45,6623,18,1590671223.68764
11,1.563e-39,2020-05-28-16:06:45,6623,18,1590671223.69004
12,1.56371e-39,2020-05-28-16:06:45,6623,18,1590671223.69231
13,-107504.0,2020-05-28-16:06:45,6623,18,1590671223.69493
14,-125.665,2020-05-28-16:06:45,6623,18,1590671223.69747
15,-110.431,2020-05-28-16:06:45,6623,18,1590671223.69978
16,-121.646,2020-05-28-16:06:45,6623,18,1590671223.70232
17,-0.000224609,2020-05-28-16:06:45,6623,18,1590671223.7055
18,-6.34766e-05,2020-05-28-16:06:45,6623,18,1590671223.70814
19,3.90625e-05,2020-05-28-16:06:45,6623,18,1590671223.71113
20,-2.92969e-05,2020-05-28-16:06:45,6623,18,1590671223.71388
9,1.56156e-39,2020-05-28-16:06:45,6623,19,1590671224.71984
10,1.56228e-39,2020-05-28-16:06:45,6623,19,1590671224.72509
11,1.563e-39,2020-05-28-16:06:45,6623,19,1590671224.72749
12,1.56371e-39,2020-05-28-16:06:45,6623,19,1590671224.72986
13,-107502.0,2020-05-28-16:06:45,6623,19,1590671224.73329
14,-125.664,2020-05-28-16:06:45,6623,19,1590671224.73558
15,-110.426,2020-05-28-16:06:45,6623,19,1590671224.73778
16,-121.644,2020-05-28-16:06:45,6623,19,1590671224.73989
17,-3.41797e-05,2020-05-28-16:06:45,6623,19,1590671224.74335
18,8.78906e-05,2020-05-28-16:06:45,6623,19,1590671224.74566
19,0.000170898,2020-05-28-16:06:45,6623,19,1590671224.74789
20,-7.8125e-05,2020-05-28-16:06:45,6623,19,1590671224.75006
9,1.56156e-39,2020-05-28-16:06:45,6623,20,1590671225.75454
10,1.56228e-39,2020-05-28-16:06:45,6623,20,1590671225.77027
11,1.563e-39,2020-05-28-16:06:45,6623,20,1590671225.77467
12,1.56371e-39,2020-05-28-16:06:45,6623,20,1590671225.77859
13,-107500.0,2020-05-28-16:06:45,6623,20,1590671225.78296
14,-125.656,2020-05-28-16:06:45,6623,20,1590671225.78722
15,-110.427,2020-05-28-16:06:45,6623,20,1590671225.79114
16,-121.641,2020-05-28-16:06:45,6623,20,1590671225.79501
17,-0.000244141,2020-05-28-16:06:45,6623,20,1590671225.80014
18,3.90625e-05,2020-05-28-16:06:45,6623,20,1590671225.80469
19,0.000107422,2020-05-28-16:06:45,6623,20,1590671225.80912
20,1.46484e-05,2020-05-28-16:06:45,6623,20,1590671225.81373
9,1.56156e-39,2020-05-28-16:06:45,6623,21,1590671226.82079
10,1.56228e-39,2020-05-28-16:06:45,6623,21,1590671226.83719
11,1.563e-39,2020-05-28-16:06:45,6623,21,1590671226.84164
12,1.56371e-39,2020-05-28-16:06:45,6623,21,1590671226.84617
13,-107500.0,2020-05-28-16:06:45,6623,21,1590671226.85107
14,-125.658,2020-05-28-16:06:45,6623,21,1590671226.85554
15,-110.425,2020-05-28-16:06:45,6623,21,1590671226.86015
16,-121.641,2020-05-28-16:06:45,6623,21,1590671226.86437
17,-0.000146484,2020-05-28-16:06:45,6623,21,1590671226.8698
18,0.000107422,2020-05-28-16:06:45,6623,21,1590671226.87444
19,8.78906e-05,2020-05-28-16:06:45,6623,21,1590671226.87875
20,4.39453e-05,2020-05-28-16:06:45,6623,21,1590671226.88318
9,1.56156e-39,2020-05-28-16:06:45,6623,22,1590671227.89016
10,1.56228e-39,2020-05-28-16:06:45,6623,22,1590671227.90683
11,1.563e-39,2020-05-28-16:06:45,6623,22,1590671227.91125
12,1.56371e-39,2020-05-28-16:06:45,6623,22,1590671227.91576
13,-107501.0,2020-05-28-16:06:45,6623,22,1590671227.92054
14,-125.661,2020-05-28-16:06:45,6623,22,1590671227.9252
15,-110.426,2020-05-28-16:06:45,6623,22,1590671227.92975
16,-121.639,2020-05-28-16:06:45,6623,22,1590671227.93352
17,0.000244141,2020-05-28-16:06:45,6623,22,1590671227.93793
18,-9.76563e-06,2020-05-28-16:06:45,6623,22,1590671227.94176
